series,noise,walk,edim,hurst,ksent
a,0.958222349354112,0.0510494375535682,8,0.4804333067907939,8.37916891286207
aa,0.9393670724495606,0.0523886796184465,9,0.593671273513934,8.206650395349588
aaba,0.9495579099792268,0.0384955215388751,13,0.6285544797508517,8.246800158775649
aac,0.91928323621604,0.0862125643804425,7,0.3954166805797051,8.131854050507734
aal,0.8938156682021191,0.1361802948035781,10,0.5680902375558883,8.40642914498634
aamc,0.9077335283158274,0.2629557466909484,6,0.6483653896469809,7.18111970291585
aame,0.77877391550853,0.1341932950242319,22,0.4060588339605058,7.288452945990305
aan,0.9057554390271864,0.0901068234509983,6,0.4812944947713551,8.504053057481523
aaoi,0.9132417036620728,0.3008264192456138,8,0.5151711944681083,7.782673354037834
aaon,0.940869692141132,0.04182457290436,10,0.4937589780169732,8.478686648309678
aap,0.9062770843973048,0.0775058297367403,14,0.4885156904315772,8.093317970167725
aapl,0.9431349214243429,0.0612289083243967,10,0.516541824555136,8.384528546466639
aat,0.867816443162455,0.1458161971793824,15,0.4428166868012002,8.427927081306265
aau,0.8847970080820913,0.0085241943437396,5,0.52860574989214,7.007809169452512
aav,0.8797826935421634,0.0770228330423179,9,0.3767160649415101,7.311955679582949
aaww,0.9061326788770778,0.0098414760929234,20,0.4724726558552142,8.493419370915381
aaxn,0.885945129553049,0.031486805559115,12,0.5722019499543144,8.273109538777502
ab,0.8963996347777663,0.090650225524333,23,0.5743288011014711,8.236322205938773
abac,0.910271383330338,0.1033757177740022,8,0.508486512003506,7.579563752467392
abax,0.8329084817303984,0.1264944745715686,5,0.4584712605002704,8.284285708261525
abb,0.9418337146253942,0.091377491763498,9,0.5041619011866232,8.465338100572163
abbv,0.9230077796130316,0.026854454157739,9,0.4568527725426376,7.933888057764747
abc,0.9053256433596966,0.0003132946353948,20,0.5271393517992975,8.589884631771426
abcb,0.9534659235396574,0.0842707545067626,13,0.5154100808399985,8.284444445112365
abcd,0.9202075464850116,0.0239355781750802,10,0.5969031345820437,7.455263002225164
abco,0.8872627895879295,0.1497059898858745,5,0.5345237255356187,8.33186944950605
abdc,0.9032575865601188,0.0717230740142776,9,0.5650731404010838,8.124824924759377
abe,0.923305768474833,0.0535891752536863,13,0.5183646899196006,8.388356152766155
abev,0.9007763097448952,0.0732817060476425,9,0.5112854118235058,8.113679415821354
abg,0.9248065280691242,0.0605973922666014,17,0.5642602651672564,8.37396382056636
abio,0.9129992467286026,0.1430220060017375,6,0.5080206789061368,7.361272127021192
abm,0.942258135914747,0.0379236824218136,11,0.6028695689422175,8.403750724468257
abmd,0.940541125659006,0.1083659307691764,8,0.4799948598133934,8.325841807528619
abr,0.9459528364779014,0.0235113481932571,20,0.4748382591199285,8.02718478443196
abrn,0.9497465893004295,0.002992172896997,15,0.5649638874419093,8.263025990285788
abr_a,0.7771312092708412,0.1087837451282396,13,0.4072291860438879,7.804523237316424
abr_b,0.8691733926316636,0.0973327494348221,16,0.5338181501833152,7.917623127901316
abr_c,0.7835804402116779,0.1136367214642095,9,0.3942680426701619,7.941689930380229
abt,0.9144235492000922,0.0316202155570773,10,0.5397288874416429,8.36542618691525
abus,0.9275768195251688,0.3021476414081725,6,0.6445453917944703,7.379258026038638
abx,0.931313189755858,0.0351306005393194,14,0.6049521970019512,8.451091280512543
aby,0.9337890619400848,0.0249788919068555,9,0.5880063182985973,8.110852916730549
acad,0.8526281814202226,0.0405689033879435,22,0.494325887401822,8.240026461070954
acc,0.9364687277782248,0.1215341559710908,8,0.6094957025594037,8.404202223198066
acco,0.9314943271316384,0.023129397350564,8,0.6196842280769815,7.858693850116532
acer,0.8969019304598143,0.1921132541984853,8,0.4765486018815784,7.784991033878326
acet,0.897835719186512,0.1122428068826364,10,0.4739715163935643,8.28957952177244
acfc,0.9465224754412584,0.0014151326517217,13,0.54283755534449,8.059205915458483
acgl,0.9597413781933574,0.0327719604056776,9,0.5866923798133921,8.39097131962313
ach,0.9272901642828624,0.0035368315479293,10,0.5222462201026702,8.131457095312708
achc,0.9219626743276688,0.0122538247033734,9,0.4837619269765747,8.473066635388077
achn,0.9059240787674914,0.153451025329586,9,0.4809399279870066,8.108510822852152
achv,0.9218618015489228,0.1316936402023314,8,0.4674603706205413,7.6358463643590415
aciw,0.8738691007851567,0.0246800220318204,7,0.4163346506726468,8.424935686088158
acls,0.9405486816998638,0.0631548616169448,13,0.4640936826670288,7.683040254234728
acm,0.8711565759786708,0.0479547944462117,12,0.4000347633452606,8.41018478749842
acn,0.943069062096944,0.0323885918330111,8,0.3516012148016052,8.414957312779743
acnb,0.9450984563607816,0.0183084830292701,16,0.5637241854068629,8.125906871890889
acor,0.9138273013106722,0.007864478761991,7,0.4853230577321435,8.470088691016493
acp,0.9665748162997382,0.1089477378151851,8,0.853824105902569,8.249381903683588
acre,0.9373533854059986,0.0196865987721448,13,0.5616597128320269,8.379716876648851
acrx,0.8385278149488937,0.1035040064843972,12,0.4186471701593861,7.438204540434862
acsf,0.9433689638553688,0.0277032627249096,10,0.6920464336861959,8.002275728353123
acst,0.9070611333128002,0.2488352277165162,9,0.3644990180719742,6.779893267767039
acta,0.8951228585207957,0.0995375213884421,5,0.6100659550004806,7.779076448376593
actg,0.9424020177184044,0.0369743324969478,15,0.6763497912561465,7.901248803527279
acu,0.9232986149407464,0.0900721096051977,10,0.5392564869426827,8.13124192544851
acxm,0.9133354608856552,0.0183264388376482,15,0.4459520258187798,8.44602697521949
acy,0.8265367067328675,0.0676856207763707,16,0.4687638580564352,8.06969849327449
adbe,0.9557476929478896,0.0300424356419144,9,0.4330666254054751,8.277144492322032
adc,0.9609380663107306,0.0753254741020813,7,0.5753262307029581,8.3887720396766
adhd,0.9294497264031908,0.0352600867404215,4,0.4612146578191648,7.945656545189879
adi,0.9393147998081636,0.0108857347556993,8,0.4584386304269885,8.353124200625734
adm,0.8926099629620246,0.0135087202755975,19,0.5700722911497,8.109592848761073
adma,0.933557702794976,0.0093218945147601,20,0.5078298407641056,8.373556417646386
admp,0.8273242253998095,0.2439640713867754,7,0.5105631790310798,7.819135164419851
adms,0.7932843808731755,0.1622615282599642,5,0.4220066007847393,7.8598924203113185
adp,0.9291177139869886,0.0409550904709111,9,0.4703034687091996,8.24985834037196
ads,0.9039045576058258,0.0103595942287246,17,0.5326650919852997,8.500661777049357
adsk,0.9549393950872236,0.0463874983075415,12,0.485852103132657,8.222415320945432
adtn,0.9075427199406932,0.0160265564197975,9,0.4984811962280403,8.358708827863826
adus,0.9116587351878476,0.0306513178277146,6,0.4851203416130525,8.37473107098191
advm,0.9210138594545644,0.302414634492719,4,0.4637185140686295,6.764984165845023
adx,0.9501930358655412,0.0611322925460168,13,0.5431942614612064,7.976334109556128
adxs,0.8896552175767359,0.0131087226880415,7,0.5281616947764424,7.92477630187516
adxsw,0.8889453502860076,0.0583908953191489,9,0.5796455737356299,7.91094938178752
ae,0.9027618237980946,0.0506711192657013,10,0.4887934348637469,8.006673538189666
aeb,0.9096776618788924,0.0272800267590535,12,0.5284589709024563,8.223114445203917
aed,0.9361832707781508,0.0910271920411363,12,0.5123033172105541,8.418705437585908
aee,0.9576085690044498,0.0834672302601532,11,0.484270567797543,8.476812585906595
aeg,0.9174664225081284,0.0539148481975166,10,0.5185029247057216,8.31006274961077
aegn,0.8481594691174983,0.046407565216771,12,0.28468146368531,8.312085630735277
aeh,0.938584323385724,0.2015083223998248,6,0.5609088074038331,8.324753927256504
aehr,0.9037104688013436,0.0683487811547169,11,0.5890940387975729,7.976482990220755
aeis,0.962665815159492,0.0457999257762777,12,0.5220411307789533,8.098626653081425
aek,0.9187313757643448,0.0176182527605466,12,0.4962467305412966,8.182050407759368
ael,0.9321187314334848,0.0858800139034492,6,0.5174579394705576,8.39746292930965
aem,0.928531231948199,0.0897772132169191,20,0.4880619796446511,8.48923514637772
aeo,0.8575926229178212,0.0113305850748959,11,0.4781793222803053,8.437976225981702
aep,0.945850237180883,0.0977317450035354,11,0.4272675005013109,8.504126605834264
aer,0.8977198590469643,0.1047829264926901,10,0.5596680567677338,8.27030948910803
aeri,0.9114996733686872,0.1455901221942528,7,0.4412277740655542,8.455979654837959
aes,0.8840412785524137,0.0637377268495165,7,0.4828220591069163,8.187490410364429
aet,0.932213394165618,0.0139020042076802,10,0.5642123487688829,8.18471989201527
aeti,0.9016511181463256,0.1391387027136184,7,0.4249858275993183,7.275653158657523
aey,0.9072091063366552,0.0971302451629065,14,0.4528699454104721,6.558224974693098
aezs,0.9247329131375512,0.2308793850901769,4,0.5251127060319559,5.863647941871908
afam,0.8762329730165294,0.1138963096983913,14,0.4150192615924755,8.216862035728822
afb,0.93971060714655,0.0420550212983134,12,0.4907934275197153,8.327570357791526
afc,0.949656018375822,0.0238724649431232,13,0.3913225400002451,8.389380553241306
afg,0.9671865074822816,0.0225077905793925,10,0.4535812865166951,8.312893973839088
afge,0.9347211569908652,0.0500156885243632,10,0.4614859279617957,8.53125026208054
afh,0.8781712392576446,0.0645119839823437,10,0.5453799614557057,7.9039970417333585
afl,0.9487383574372942,0.1062387720928922,17,0.4048758426453969,8.388197189779458
afmd,0.9093463116935604,0.2223482218905852,11,0.6089897736400854,7.1955191004147245
afsd,0.9319923386749696,0.0617464929051381,13,0.5213847987212286,8.28625247686862
afsi,0.9258170637731516,0.1121148382582555,11,0.5086291200278632,8.178868648859869
aft,0.9505816715315608,0.0013767493560357,7,0.749358379586362,8.278895203557786
ag,0.9292675498833054,0.011029597737634,10,0.6823305101536566,8.182668161045932
agc,0.9524371406901688,0.1369358793432424,12,0.7370725015352796,8.202889801564137
agco,0.9321031017433836,0.0612253661854622,5,0.4412896856148056,8.431952568993085
agd,0.9564780436145356,0.082111957877504,6,0.6227615883976665,8.295797527431262
